TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency
2026-01-30 17:55:53,1769795753985,udaansetuai.vercel.app/auth/forgot-password,GET,_rsc=3h7wn,200,cct5p-1769795753985-d983e857cabb,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,production,main,PRERENDER,static,/frontend/auth/forgot-password,udaansetuai.vercel.app,udaansetu-ivlcev0dw-dhruvpatel16120s-projects.vercel.app,dpl_FihkPXgmYaEr6GAXdVqqNfWbMSbG,496,bom1,,,,prj_kErXilNoIEsHWK4baWoKnskemxTi,,,,,
2026-01-30 17:55:53,1769795753980,udaansetuai.vercel.app/,GET,_rsc=3h7wn,200,wr97j-1769795753980-21202f5b53a9,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,production,main,HIT,static,/frontend/,udaansetuai.vercel.app,udaansetu-ivlcev0dw-dhruvpatel16120s-projects.vercel.app,dpl_FihkPXgmYaEr6GAXdVqqNfWbMSbG,5,bom1,,,,prj_kErXilNoIEsHWK4baWoKnskemxTi,,,,,
2026-01-30 17:55:53,1769795753680,udaansetuai.vercel.app/auth,GET,mode=sign-in,200,gj9xk-1769795753680-39578ba41090,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,production,main,HIT,static,/frontend/auth,udaansetuai.vercel.app,udaansetu-ivlcev0dw-dhruvpatel16120s-projects.vercel.app,dpl_FihkPXgmYaEr6GAXdVqqNfWbMSbG,4,bom1,,,,prj_kErXilNoIEsHWK4baWoKnskemxTi,,,,,
2026-01-30 17:55:53,1769795753580,udaansetuai.vercel.app/auth,GET,mode=sign-in&_rsc=vusbg,200,gjt9r-1769795753580-2845eb0d131a,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,production,main,HIT,static,/frontend/auth,udaansetuai.vercel.app,udaansetu-ivlcev0dw-dhruvpatel16120s-projects.vercel.app,dpl_FihkPXgmYaEr6GAXdVqqNfWbMSbG,4,bom1,,,,prj_kErXilNoIEsHWK4baWoKnskemxTi,,,,,
2026-01-30 17:55:50,1769795750550,udaansetuai.vercel.app/auth,GET,_rsc=1r34m,200,gjt9r-1769795750550-a68a5edbe1c4,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,production,main,HIT,static,/frontend/auth,udaansetuai.vercel.app,udaansetu-ivlcev0dw-dhruvpatel16120s-projects.vercel.app,dpl_FihkPXgmYaEr6GAXdVqqNfWbMSbG,7,bom1,,,,prj_kErXilNoIEsHWK4baWoKnskemxTi,,,,,
2026-01-30 17:55:50,1769795750550,udaansetuai.vercel.app/,GET,_rsc=1r34m,200,bsv29-1769795750550-c69c656778cd,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,production,main,HIT,static,/frontend/,udaansetuai.vercel.app,udaansetu-ivlcev0dw-dhruvpatel16120s-projects.vercel.app,dpl_FihkPXgmYaEr6GAXdVqqNfWbMSbG,8,bom1,,,,prj_kErXilNoIEsHWK4baWoKnskemxTi,,,,,
2026-01-30 17:55:50,1769795750545,udaansetuai.vercel.app/assessment,GET,_rsc=1r34m,200,gj9xk-1769795750545-5ec7f92f4288,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,production,main,PRERENDER,static,/frontend/assessment,udaansetuai.vercel.app,udaansetu-ivlcev0dw-dhruvpatel16120s-projects.vercel.app,dpl_FihkPXgmYaEr6GAXdVqqNfWbMSbG,476,bom1,,,,prj_kErXilNoIEsHWK4baWoKnskemxTi,,,,,
2026-01-30 17:55:50,1769795750540,udaansetuai.vercel.app/resources,GET,_rsc=1r34m,200,tvt76-1769795750540-03beaad5b18a,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,production,main,PRERENDER,static,/frontend/resources,udaansetuai.vercel.app,udaansetu-ivlcev0dw-dhruvpatel16120s-projects.vercel.app,dpl_FihkPXgmYaEr6GAXdVqqNfWbMSbG,696,bom1,,,,prj_kErXilNoIEsHWK4baWoKnskemxTi,,,,,
2026-01-30 17:55:49,1769795749976,udaansetuai.vercel.app/auth,GET,mode=sign-in&_rsc=1r34m,200,tvt76-1769795749976-b45a6750f785,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,production,main,PRERENDER,static,/frontend/auth,udaansetuai.vercel.app,udaansetu-ivlcev0dw-dhruvpatel16120s-projects.vercel.app,dpl_FihkPXgmYaEr6GAXdVqqNfWbMSbG,447,bom1,,,,prj_kErXilNoIEsHWK4baWoKnskemxTi,,,,,
2026-01-30 17:55:49,1769795749975,udaansetuai.vercel.app/auth,GET,mode=sign-up&_rsc=1r34m,200,bsv29-1769795749975-a49ff5ea8c4d,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",,production,main,PRERENDER,static,/frontend/auth,udaansetuai.vercel.app,udaansetu-ivlcev0dw-dhruvpatel16120s-projects.vercel.app,dpl_FihkPXgmYaEr6GAXdVqqNfWbMSbG,450,bom1,,,,prj_kErXilNoIEsHWK4baWoKnskemxTi,,,,,
